"","ALAN_SRR27370365","ALAN_SRR27370371","ALAN_SRR27370375","ALAN_SRR27370376","ALAN_SRR27370382","control_SRR27370367","control_SRR27370378","control_SRR27370379","control_SRR27370384","control_SRR27370385","noise_SRR27370366","noise_SRR27370370","noise_SRR27370372","noise_SRR27370373","noise_SRR27370374","noise_SRR27370381","soot_SRR27370368","soot_SRR27370369","soot_SRR27370377","soot_SRR27370380","soot_SRR27370383","soot_SRR27370386"
"MSTRG.8377|SCOC",6.84595292588875,8.43940610170297,4.29508069005893,4.52080800003647,8.05919862852275,1.54572814096773,1.66230239435856,1.79105112045202,3.40784885800013,1.67165045758109,4.35367267235506,8.08173428396278,1.16089457586182,1.62702588721219,5.76981623868955,6.63420646873133,4.30773153561427,1.56442201854368,4.24443538246549,2.75945124110077,3.64733495831116,4.67075391916547
"MSTRG.11547|ARPC2",0,0,9.14582688165928,0,9.39815148137421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MSTRG.1589",0,7.33921178182578,0,0,6.63428028632874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MSTRG.1990|LOC100225830",0,8.45197000017953,0,11.8023615943987,0,0,0,0,0,0,0,7.09855269197324,0,12.609045888787,11.8962781915366,12.8567073115409,0,0,0,0,0,0
"MSTRG.7957|LOC100221190",7.68836519296503,0,0,0,8.69792967922214,0,0,0,0,0,8.57788585543261,0,0,8.993255652112,0,0,0,0,0,0,0,0
"MSTRG.5909",0,0,8.51270525213631,0,0,0,0,0,0,0,0,0,0,8.03394323842169,8.60165007006056,0,0,0,0,0,0,0
"MSTRG.11987",0,1.71250244714599,8.40581084232142,0,0,0,0,0,0,0,0,0,0,7.58587268877384,6.99431655421328,7.48361638596251,0,6.94660651725976,0,0,0,0
"MSTRG.1492|OFD1",8.93103437162903,0,0,0,0,0,0,0,0,0,0,0,7.83942223063323,0,0,8.11111456123094,0,8.44894636892584,0,8.98572300306482,0,0
"MSTRG.15840|ANKS4B",0,9.53208215801742,0,0,0,0,0,0,0,0,0,0,0,10.0036291831196,10.0275513614103,0,10.6706863321095,0,0,0,0,9.51086849925349
"MSTRG.20760|REN",0,0,0,0,0,0,0,7.66373519874981,0,5.95889082379157,0,0,0,0,2.97042329314422,0,0,0,0,3.64878440492489,0,0
"MSTRG.20159|APOC3",9.84519460538669,9.00604239298108,9.21981874806357,10.0428831272584,10.4353708729807,11.6149517268577,11.6434138342443,12.2557220268876,10.5495984590601,14.3715445938347,9.81274964509817,10.001661852343,9.68242870129515,8.72427066516411,7.50936357909923,7.86177950054903,11.6724326088848,9.56717138687129,9.2651122033471,10.6313657552214,9.73138751609728,10.8143358443269
"MSTRG.552",9.74467554920364,9.43416397180783,9.34496012000433,9.27586520589433,9.31528871530394,10.2204001952514,10.1751015273043,10.3086174542698,10.3757399096932,10.6969791846902,10.0120023974684,10.3388503851424,9.22690533999464,9.95588100908929,10.1995965194185,9.7671452341541,9.93197386717409,9.62375336415395,9.98783908558135,10.2982484549897,9.61856954402216,10.0436493309892
"MSTRG.19754",3.1930609489252,5.10434603759852,3.49149291247471,3.8799591743392,5.19255816623099,8.71895586820005,8.99385818302923,6.79324432820373,6.13377462571782,8.68241644097058,5.13046404138978,6.94134467543692,8.56211987712419,8.32923143172818,6.62945110074245,8.29032401061634,8.74663822217638,6.90007206292106,8.75454535285726,5.33763285042093,8.98961536349917,8.75307594519735
"MSTRG.10694|LOC121470140",0,0,0,0,0,0,0,6.0035388451861,0,0,0,0,2.5713955765747,0,0,0,0,0,0,4.40598230857758,4.23414607404009,4.39377979005028
"MSTRG.6717",0,0,0,0,0,8.49549067629681,9.35273114503392,9.8333137369108,0,0,8.95947599998163,0,8.40529101585513,0,2.47468032640134,0,8.62171474170725,0,9.16874751936033,0,0,0
"MSTRG.21012",0,0,0,0,0,0,0,6.44498882319202,0,0,8.17870227602651,0,0,0,0,9.2442233925416,0,8.68682921951234,0,7.59529139501527,6.25682674948937,8.8980328256746
"MSTRG.14639",0,0,0,0,0,0,0,0,7.63692307764115,8.20985023432228,7.2725375036239,6.27029887907979,0,7.7418249693612,8.9329623307681,0,0,0,0,8.66860436344641,0,0
"MSTRG.13970|PGPEP1L",0,0,0,0,0,9.09059456535025,0,0,0,8.7351696130475,0,8.48817010133623,0,0,0,0,0,0,0,0,0,0
"MSTRG.20213",0,0,0,0,0,9.58106168804772,0,0,9.82586052331978,0,0,0,0,0,0,9.43075824969764,9.47892865822787,8.72403840832579,0,0,0,0
"MSTRG.21428|ATP5F1D",0,0,0,0,0,0,8.06243015832822,0,0,8.91251051468264,0,0,0,0,8.9194436457029,0,0,0,0,0,0,9.0986869088411
