"","ALAN_SRR27370365","ALAN_SRR27370371","ALAN_SRR27370375","ALAN_SRR27370376","ALAN_SRR27370382","control_SRR27370367","control_SRR27370378","control_SRR27370379","control_SRR27370384","control_SRR27370385","noise_SRR27370366","noise_SRR27370370","noise_SRR27370372","noise_SRR27370373","noise_SRR27370374","noise_SRR27370381","soot_SRR27370368","soot_SRR27370369","soot_SRR27370377","soot_SRR27370380","soot_SRR27370383","soot_SRR27370386"
"MSTRG.11769|NRP2",0,8.6448819105361,8.61907537916409,5.76866296991404,0.763357004904158,0,0,0,0.97185797556796,4.12046916181852,0,1.66757024457977,0.694193910305339,0,0,0,0.992545543572119,2.29724418804532,0,1.54784238688799,0,1.07881084556442
"MSTRG.12732",2.55760512194095,1.3323882755599,8.52370219798079,1.90477969969671,9.63296702880359,4.26569052322229,1.05839012685462,3.97856324242274,2.27663353108316,3.28438882474933,0.979840631029732,1.66757024457977,2.4130147937671,3.37842863807344,1.09734803682833,2.90715592214131,4.37808510707714,0,3.78913787726475,3.12021619679871,0,3.13521635161965
"MSTRG.15059",10.3615957493363,10.0824550881638,9.64939206645223,9.90926458677676,10.2536291184121,9.87006139947435,9.7920938973987,10.0418870315497,9.68469077408357,9.78799806735895,9.38152036600463,9.28186947161476,9.09127805413997,9.42010249301006,9.37063065530565,9.39637524497202,10.0962016250256,10.2182176926405,9.79721765159411,9.78793865069026,9.82772287872484,10.6220597913872
"MSTRG.6452|SF3B5",0,5.89361440094847,0,0,0,4.40291962829216,3.6902683670002,0,1.9575783920462,0,0,0,0,0,0,0,1.5750146414122,3.14247218561652,0,2.95108121489754,6.80875808686395,0
"MSTRG.5342",2.91004077607346,0,0,0,7.11264646185099,0,0,2.35081280706896,0,1.0654993909172,0,0,0,0,0,0,0,0,0,0,0,0
"MSTRG.5395",7.14059953767055,0,0,0,0,0,2.68100647991355,0,4.26798017629495,4.93112249693984,0,0,0,0,0,0,0,0,0,0,0,5.00648833576169
"MSTRG.11547|ARPC2",0,0,9.14582688165928,0,9.39815148137421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MSTRG.11863",3.1930609489252,0,0,0,2.71797495939904,8.7024315584809,3.4253863344369,0,8.66439262954462,0,0,0,0,0,0,0,7.57009312510895,0,0,0,4.52432432801494,0
"MSTRG.1589",0,7.33921178182578,0,0,6.63428028632874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MSTRG.8512|LOC100227202",6.84595292588875,0,7.00701733422651,0,0,0,0,0,0,6.53610130820524,0,0,0,0,0,0,0,0,0,0,0,0
"MSTRG.22666",7.74424128721408,7.64301304641856,8.71813848610472,7.87211436423582,6.04136409587611,9.25144899111059,10.7948011120852,9.59094163175622,8.70151316561052,9.8978511319403,12.1445895797916,11.4758564284343,10.716941158878,9.32228719640494,9.88181402138228,9.26151909418081,9.91580510185212,9.55970614584989,10.3171170484805,9.35130734226664,10.6234149043346,8.4198521115698
"MSTRG.1584",3.1930609489252,3.1028193398657,2.2406964071751,2.69800379470267,4.14880878216855,4.80080639972534,4.75395484089448,5.4479627187156,5.87484355159296,2.91788335517298,7.47532042491698,4.76136473320351,5.77516311898462,5.91956759480367,5.54177534690829,5.81408189093432,3.8929443065245,5.09925430420152,5.15484632338021,3.85465081733062,5.35161146211506,2.44603839106583
"MSTRG.1444",4.66882708376074,4.86228036402825,4.60223546437146,4.43188223860633,4.92087937540581,6.57070847853401,6.24221822888044,6.97354142953698,7.40291706241707,4.76709652506709,8.64599604829692,5.57896918491196,6.50155255101261,8.23235606849443,6.87332411490475,6.14750674760355,6.13501109797043,6.217417265377,7.97197156431167,5.6999008158631,7.44255096325973,5.60965611282716
"MSTRG.19754",3.1930609489252,5.10434603759852,3.49149291247471,3.8799591743392,5.19255816623099,8.71895586820005,8.99385818302923,6.79324432820373,6.13377462571782,8.68241644097058,5.13046404138978,6.94134467543692,8.56211987712419,8.32923143172818,6.62945110074245,8.29032401061634,8.74663822217638,6.90007206292106,8.75454535285726,5.33763285042093,8.98961536349917,8.75307594519735
"MSTRG.23543",5.4913933618825,5.60949044296841,5.57222708765789,5.08466834662785,6.67423733305278,6.26342500653328,7.50617069526042,7.77055903765763,8.19601157108163,5.21200541861044,11.1700842898594,6.07450821763947,9.17077514374639,8.07921551740055,9.30456600924457,8.38805332845041,5.96257077071681,9.35929409345979,8.42916442670742,6.07405459393113,9.10120760897869,4.46816565879624
"MSTRG.801",3.96918618266196,4.20626873371505,4.22494281139447,3.8799591743392,4.66733882221773,6.22691850898001,5.15556310510612,5.67337581685656,6.71187219822554,3.28438882474933,9.9324163319653,2.68750370295428,6.41015961478846,7.86972516201888,7.73448954905424,6.33345769527119,6.15518604110804,6.88820007952894,5.81107608750378,4.40598230857758,8.07327761456271,3.95045215006918
"MSTRG.6717",0,0,0,0,0,8.49549067629681,9.35273114503392,9.8333137369108,0,0,8.95947599998163,0,8.40529101585513,0,2.47468032640134,0,8.62171474170725,0,9.16874751936033,0,0,0
"MSTRG.21012",0,0,0,0,0,0,0,6.44498882319202,0,0,8.17870227602651,0,0,0,0,9.2442233925416,0,8.68682921951234,0,7.59529139501527,6.25682674948937,8.8980328256746
"MSTRG.4020|ENTPD3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.64596151680385,0,6.87622959003746,0,2.95108121489754,2.05123074594837,5.79447877167195
"MSTRG.21428|ATP5F1D",0,0,0,0,0,0,8.06243015832822,0,0,8.91251051468264,0,0,0,0,8.9194436457029,0,0,0,0,0,0,9.0986869088411
