"","ALAN_SRR27370365","ALAN_SRR27370371","ALAN_SRR27370375","ALAN_SRR27370376","ALAN_SRR27370382","control_SRR27370367","control_SRR27370378","control_SRR27370379","control_SRR27370384","control_SRR27370385","noise_SRR27370366","noise_SRR27370370","noise_SRR27370372","noise_SRR27370373","noise_SRR27370374","noise_SRR27370381","soot_SRR27370368","soot_SRR27370369","soot_SRR27370377","soot_SRR27370380","soot_SRR27370383","soot_SRR27370386"
"MSTRG.5342",2.91004077607346,0,0,0,7.11264646185099,0,0,2.35081280706896,0,1.0654993909172,0,0,0,0,0,0,0,0,0,0,0,0
"MSTRG.1645",0,0,0,0,5.79181386048462,0,0,0,0,1.0654993909172,0,4.57629882469398,0,2.63735286310619,1.7133529358304,0,0,0,0,0,0,0
"MSTRG.11547|ARPC2",0,0,9.14582688165928,0,9.39815148137421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MSTRG.1589",0,7.33921178182578,0,0,6.63428028632874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MSTRG.20542",0,0,0,0,5.77353634307909,4.33593611450552,0,0,4.19413185626123,0,0,5.64321551290303,5.12882574911644,0,0,0,0,0,0,0,0,0
"MSTRG.1990|LOC100225830",0,8.45197000017953,0,11.8023615943987,0,0,0,0,0,0,0,7.09855269197324,0,12.609045888787,11.8962781915366,12.8567073115409,0,0,0,0,0,0
"MSTRG.7957|LOC100221190",7.68836519296503,0,0,0,8.69792967922214,0,0,0,0,0,8.57788585543261,0,0,8.993255652112,0,0,0,0,0,0,0,0
"MSTRG.8512|LOC100227202",6.84595292588875,0,7.00701733422651,0,0,0,0,0,0,6.53610130820524,0,0,0,0,0,0,0,0,0,0,0,0
"MSTRG.5909",0,0,8.51270525213631,0,0,0,0,0,0,0,0,0,0,8.03394323842169,8.60165007006056,0,0,0,0,0,0,0
"MSTRG.6432",5.89839097333551,6.71419262854839,0,0,6.74160505575416,0,0,0,4.03402538283328,0,0,0,0,2.04723611462743,8.87461201623732,0,0,0,0,0,0,0
"MSTRG.23007",10.5043491266212,10.9786518695366,10.7432727090458,10.7508614757583,10.5948076475359,11.1012691231227,11.5723633759232,11.4815358901874,10.2696306983293,11.7036528281676,11.2308752570138,10.5357450172529,11.3044407686419,10.7359154764133,11.200381009382,11.207663572418,11.4572407744901,11.7904625867552,12.1265632210805,12.6041830334959,11.6282220794612,11.8351718566086
"MSTRG.19754",3.1930609489252,5.10434603759852,3.49149291247471,3.8799591743392,5.19255816623099,8.71895586820005,8.99385818302923,6.79324432820373,6.13377462571782,8.68241644097058,5.13046404138978,6.94134467543692,8.56211987712419,8.32923143172818,6.62945110074245,8.29032401061634,8.74663822217638,6.90007206292106,8.75454535285726,5.33763285042093,8.98961536349917,8.75307594519735
"MSTRG.6717",0,0,0,0,0,8.49549067629681,9.35273114503392,9.8333137369108,0,0,8.95947599998163,0,8.40529101585513,0,2.47468032640134,0,8.62171474170725,0,9.16874751936033,0,0,0
"MSTRG.21012",0,0,0,0,0,0,0,6.44498882319202,0,0,8.17870227602651,0,0,0,0,9.2442233925416,0,8.68682921951234,0,7.59529139501527,6.25682674948937,8.8980328256746
"MSTRG.14639",0,0,0,0,0,0,0,0,7.63692307764115,8.20985023432228,7.2725375036239,6.27029887907979,0,7.7418249693612,8.9329623307681,0,0,0,0,8.66860436344641,0,0
"MSTRG.25664",0,0,0,0,0,7.26304707429683,0,0,6.09371954648424,0,0,0,0,0,0,5.77179000732885,7.3860207104069,6.69729384274298,0,0,0,0
"MSTRG.21428|ATP5F1D",0,0,0,0,0,0,8.06243015832822,0,0,8.91251051468264,0,0,0,0,8.9194436457029,0,0,0,0,0,0,9.0986869088411
"MSTRG.6875|RPS27A",0,0,0,0,0,0,0,0,8.2742529820169,0,8.37314426017523,8.10473336874837,8.19929244472019,0,8.13033640405275,0,0,0,0,8.24334484371719,0,0
"MSTRG.20213",0,0,0,0,0,9.58106168804772,0,0,9.82586052331978,0,0,0,0,0,0,9.43075824969764,9.47892865822787,8.72403840832579,0,0,0,0
"MSTRG.15390|NDUFA2",0,0,0,6.9600398476111,0,0,0,6.12719460226921,0,5.74035884617566,0,7.38822848550324,6.00076567679643,0,0,0,0,0,0,0,0,0
