"","ALAN_SRR27370365","ALAN_SRR27370371","ALAN_SRR27370375","ALAN_SRR27370376","ALAN_SRR27370382","control_SRR27370367","control_SRR27370378","control_SRR27370379","control_SRR27370384","control_SRR27370385","noise_SRR27370366","noise_SRR27370370","noise_SRR27370372","noise_SRR27370373","noise_SRR27370374","noise_SRR27370381","soot_SRR27370368","soot_SRR27370369","soot_SRR27370377","soot_SRR27370380","soot_SRR27370383","soot_SRR27370386"
"MSTRG.13202|PAQR9",9.22219135729416,3.94699503348844,5.25785980649898,4.43188223860633,6.11579709509149,6.79924333979868,6.06692837009243,15.750781802831,4.80313493236579,5.29466843742958,5.28235282862839,5.07261464988905,15.4788336069042,5.58487259989371,9.11891565350164,16.2031617246456,3.68664741990465,5.61355971625046,6.21137619167609,4.89999401465038,4.76579722373046,4.39377979005028
"MSTRG.1211",4.92237745785344,6.93611209650547,4.85533627028659,1.90477969969671,8.15761879250774,3.75241033584685,3.10068235521475,4.25133347625287,10.8050495514903,10.1981606296341,3.13388902303751,1.06239500519759,6.85728818979383,3.22574132715666,2.97042329314422,4.75518230641023,3.30848221597296,4.21865014448452,1.19057264479595,3.12021619679871,1.63058995668596,1.68911509732776
"MSTRG.23626",5.81735087651073,6.33458756526094,6.32522169725559,5.19687150733637,6.05656108599087,4.26569052322229,7.13602945078787,5.67337581685656,11.0595261347096,10.4567333300616,2.96453406219285,2.4205045779352,5.17890855453919,6.41944815046527,6.13988337462993,5.13472374701093,4.30773153561427,6.05700096123751,5.10195523423998,5.30290058725499,5.06583666989747,4.53890349132074
"MSTRG.11854|SF3B1",0,0,2.2406964071751,0,0,0,0,0,2.27663353108316,1.67165045758109,0,0,6.54993130268587,6.78998594662167,0,0,0,0,0,0,0,0
"MSTRG.20542",0,0,0,0,5.77353634307909,4.33593611450552,0,0,4.19413185626123,0,0,5.64321551290303,5.12882574911644,0,0,0,0,0,0,0,0,0
"MSTRG.13970|PGPEP1L",0,0,0,0,0,9.09059456535025,0,0,0,8.7351696130475,0,8.48817010133623,0,0,0,0,0,0,0,0,0,0
"MSTRG.3083|LOC116807753",0,0,0,0,0,0,0,0,8.24712027047037,0,8.65298199577468,0,7.55174675321208,0,0,0,0,0,0,0,0,0
"MSTRG.11450|LMLN",6.42144427600243,0,0,7.32356818340862,0,6.95243706479532,0,0,8.52073665383813,0,6.40281233582965,0,0,0,0,0,0,0,0,0,0,0
"MSTRG.8490|RBPMS",0,0,0,7.09648956772616,6.18657754646037,0,7.56509060603294,0,0,0,6.14978414520185,0,0,0,0,0,0,0,0,0,0,0
"MSTRG.13518|LOC115496387",0,8.5862523676498,7.5203147835163,0,0,0,0,0,8.21480670609465,0,0,0,0,7.66224075250487,7.74218897144624,0,0,0,0,0,0,0
"MSTRG.4489",3.1930609489252,2.96935569801317,1.92398151421234,2.974766601761,2.8633283752446,1.95578546413088,2.08672224777285,0.864115311224805,2.75876995933272,0,1.55802025345709,1.06239500519759,1.51295523535591,3.05496059729487,2.47468032640134,3.88902872481967,2.30998240589661,6.11926582434115,9.62983250628939,2.53841118186668,2.64177485817903,2.44603839106583
"MSTRG.16287|LOC116808986",0,0,0,0,7.50490533286066,0,0,0,0,0,0,0,0,0,0,0,8.81480812698225,8.5121941698978,0,0,0,0
"MSTRG.10668",6.083065323449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.87552193030324,0,8.8556636779769,9.11034749227687
"MSTRG.10674",5.20320778941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.34892036717785,0,8.9288554488994,8.86399731703134
"MSTRG.12608|LOC101234018",6.80450156039927,0,3.23021314670828,4.33711306272795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.75788185569716,0,0,0
"MSTRG.15840|ANKS4B",0,9.53208215801742,0,0,0,0,0,0,0,0,0,0,0,10.0036291831196,10.0275513614103,0,10.6706863321095,0,0,0,0,9.51086849925349
"MSTRG.1492|OFD1",8.93103437162903,0,0,0,0,0,0,0,0,0,0,0,7.83942223063323,0,0,8.11111456123094,0,8.44894636892584,0,8.98572300306482,0,0
"MSTRG.5027|LOC121469242",0,0,0,0,5.91365639379993,0,0,0,0,0,0,0,0,0,0,7.15385602335455,0,7.49281036923131,0,6.98878240569564,0,0
"MSTRG.5023",0,0,0,0,7.41932258621364,0,0,0,0,0,0,0,0,0,0,6.74765712196009,0,7.43686068028284,0,7.16350742551827,0,0
"MSTRG.15406|LOC115497093",0,2.82227492441484,0,0,7.53234072511622,0,0,0,0,0,0,7.18741751155705,7.13610435755749,0,0,0,7.86163325230193,0,0,0,0,0
