"","ALAN_SRR27370365","ALAN_SRR27370371","ALAN_SRR27370375","ALAN_SRR27370376","ALAN_SRR27370382","control_SRR27370367","control_SRR27370378","control_SRR27370379","control_SRR27370384","control_SRR27370385","noise_SRR27370366","noise_SRR27370370","noise_SRR27370372","noise_SRR27370373","noise_SRR27370374","noise_SRR27370381","soot_SRR27370368","soot_SRR27370369","soot_SRR27370377","soot_SRR27370380","soot_SRR27370383","soot_SRR27370386"
"MSTRG.11645",4.57333698695511,3.79749364195761,4.22494281139447,0,0,0,0,0,0,0,4.9149196961017,6.53021479359517,6.09507704323338,5.06072693834013,4.93686720410701,6.73670520208903,0,4.82813691604113,5.04705105184576,3.12021619679871,3.87051993329053,2.71401937957011
"MSTRG.24034",3.1930609489252,9.65399463941478,0.949768643131744,8.6400821724733,1.25994830099735,4.03175781570845,4.5015745392645,3.43864916151122,4.26798017629495,4.02684599250331,12.1405566945906,2.4205045779352,10.8037925936732,2.04723611462743,11.3997459371789,11.9136162479155,4.30773153561427,8.87603426711701,5.15484632338021,4.26873805558968,5.15342162562025,2.71401937957011
"MSTRG.22559",2.91004077607346,2.26167521452383,4.22494281139447,1.90477969969671,2.3742367949855,2.75671193728771,2.41425060608353,2.09791161235478,1.54731647530469,2.69253233031215,2.55120533453803,4.11486118722809,1.7957339585587,9.30571676092758,9.2325998792535,3.05555175153427,2.57251692173317,5.05746037688914,1.19057264479595,0.972249837601496,3.64733495831116,2.11665847531228
"MSTRG.18200",12.1535392730089,12.155579692219,12.5994806052504,12.2467903573288,12.1330744682947,12.2057821808632,11.758781243715,12.1898772745987,11.8787042718728,11.737293245524,12.3809419835645,12.8856060152157,13.0884891838386,12.642185579194,12.7120724728442,12.4038341208908,12.4063310141997,12.2314734434612,12.3542197258847,12.0234534042865,12.4224234338064,12.0430041133454
"MSTRG.17295|PHYHD1",0,0,0,0,0,0,0,0,0,0,9.64068414088042,9.90506819853954,0,9.52198847903641,0,0,0,0,0,0,0,0
"MSTRG.1990|LOC100225830",0,8.45197000017953,0,11.8023615943987,0,0,0,0,0,0,0,7.09855269197324,0,12.609045888787,11.8962781915366,12.8567073115409,0,0,0,0,0,0
"MSTRG.7957|LOC100221190",7.68836519296503,0,0,0,8.69792967922214,0,0,0,0,0,8.57788585543261,0,0,8.993255652112,0,0,0,0,0,0,0,0
"MSTRG.5909",0,0,8.51270525213631,0,0,0,0,0,0,0,0,0,0,8.03394323842169,8.60165007006056,0,0,0,0,0,0,0
"MSTRG.15840|ANKS4B",0,9.53208215801742,0,0,0,0,0,0,0,0,0,0,0,10.0036291831196,10.0275513614103,0,10.6706863321095,0,0,0,0,9.51086849925349
"MSTRG.11987",0,1.71250244714599,8.40581084232142,0,0,0,0,0,0,0,0,0,0,7.58587268877384,6.99431655421328,7.48361638596251,0,6.94660651725976,0,0,0,0
"MSTRG.20159|APOC3",9.84519460538669,9.00604239298108,9.21981874806357,10.0428831272584,10.4353708729807,11.6149517268577,11.6434138342443,12.2557220268876,10.5495984590601,14.3715445938347,9.81274964509817,10.001661852343,9.68242870129515,8.72427066516411,7.50936357909923,7.86177950054903,11.6724326088848,9.56717138687129,9.2651122033471,10.6313657552214,9.73138751609728,10.8143358443269
"MSTRG.20953",9.47758847527657,9.40053010826372,9.20395417373096,9.48922828391046,9.75676136814756,9.78629675077136,10.1129914910184,9.67295881018319,8.58715718633288,9.01053698464205,8.06283312070372,7.96718351693209,7.85875547044487,8.53414646018637,7.75746563039118,8.61731358967271,10.032190483245,9.28654016025606,9.25908564484944,10.1399914326267,10.268753453836,10.5733923997561
"MSTRG.23626",5.81735087651073,6.33458756526094,6.32522169725559,5.19687150733637,6.05656108599087,4.26569052322229,7.13602945078787,5.67337581685656,11.0595261347096,10.4567333300616,2.96453406219285,2.4205045779352,5.17890855453919,6.41944815046527,6.13988337462993,5.13472374701093,4.30773153561427,6.05700096123751,5.10195523423998,5.30290058725499,5.06583666989747,4.53890349132074
"MSTRG.14914|IHO1",0,0,0,0,8.34875063475004,7.44886792878386,0,4.42663901590685,4.58932953122495,0,0,0,0,0,0,0,0,8.83023267789099,6.46279603126284,0,0,0
"MSTRG.22398",0,0,0,5.5746099248051,0,0,6.92088038283349,0,0,0,0,0,0,0,0,0,0,0,0,0,5.49263240531176,7.29205653911059
"MSTRG.3807",0,0,0,0,2.16580872623412,0,0,0,9.05960448070054,9.91264956733248,0,0,0,0,0,0,0,0,0,0,9.25762217410141,10.0191156925451
"MSTRG.8512|LOC100227202",6.84595292588875,0,7.00701733422651,0,0,0,0,0,0,6.53610130820524,0,0,0,0,0,0,0,0,0,0,0,0
"MSTRG.1819|LOC100222646",0,5.69653448313639,0,0,0,0,7.77217509093329,0,0,0,0,0,0,0,0,0,8.2705027457424,0,0,6.35401851833261,0,5.19351223766264
"MSTRG.1492|OFD1",8.93103437162903,0,0,0,0,0,0,0,0,0,0,0,7.83942223063323,0,0,8.11111456123094,0,8.44894636892584,0,8.98572300306482,0,0
"MSTRG.15406|LOC115497093",0,2.82227492441484,0,0,7.53234072511622,0,0,0,0,0,0,7.18741751155705,7.13610435755749,0,0,0,7.86163325230193,0,0,0,0,0
