"","ALAN_SRR27370365","ALAN_SRR27370371","ALAN_SRR27370375","ALAN_SRR27370376","ALAN_SRR27370382","control_SRR27370367","control_SRR27370378","control_SRR27370379","control_SRR27370384","control_SRR27370385","noise_SRR27370366","noise_SRR27370370","noise_SRR27370372","noise_SRR27370373","noise_SRR27370374","noise_SRR27370381","soot_SRR27370368","soot_SRR27370369","soot_SRR27370377","soot_SRR27370380","soot_SRR27370383","soot_SRR27370386"
"MSTRG.13202|PAQR9",9.22219135729416,3.94699503348844,5.25785980649898,4.43188223860633,6.11579709509149,6.79924333979868,6.06692837009243,15.750781802831,4.80313493236579,5.29466843742958,5.28235282862839,5.07261464988905,15.4788336069042,5.58487259989371,9.11891565350164,16.2031617246456,3.68664741990465,5.61355971625046,6.21137619167609,4.89999401465038,4.76579722373046,4.39377979005028
"MSTRG.23806",4.11194824118391,9.7601020353639,8.03765220259358,7.486984733651,6.39222913147416,6.46496028622915,6.68320505524875,3.20198371699425,5.58817135435619,6.2963746076377,12.3075783358485,5.57896918491196,9.45362357251179,13.4709680437856,11.6758165874931,0,5.76668524511676,7.55420383699541,4.33888775528671,1.95817199036716,6.57497668258901,4.53890349132074
"MSTRG.21681",11.011973528843,11.1216550131763,11.1580997825753,10.8814836030679,11.1902645095535,11.515354309091,11.5759490830368,11.2115505971059,11.2526552550871,10.990725259556,11.4452392376291,11.4350398898752,11.4546231135202,11.3194172750783,11.4340204460103,11.4772736875651,11.1430373951309,10.3995537581701,10.3753852608445,10.8702807774888,10.8426604066801,10.9744347160914
"MSTRG.11854|SF3B1",0,0,2.2406964071751,0,0,0,0,0,2.27663353108316,1.67165045758109,0,0,6.54993130268587,6.78998594662167,0,0,0,0,0,0,0,0
"MSTRG.17295|PHYHD1",0,0,0,0,0,0,0,0,0,0,9.64068414088042,9.90506819853954,0,9.52198847903641,0,0,0,0,0,0,0,0
"MSTRG.20542",0,0,0,0,5.77353634307909,4.33593611450552,0,0,4.19413185626123,0,0,5.64321551290303,5.12882574911644,0,0,0,0,0,0,0,0,0
"MSTRG.1990|LOC100225830",0,8.45197000017953,0,11.8023615943987,0,0,0,0,0,0,0,7.09855269197324,0,12.609045888787,11.8962781915366,12.8567073115409,0,0,0,0,0,0
"MSTRG.3083|LOC116807753",0,0,0,0,0,0,0,0,8.24712027047037,0,8.65298199577468,0,7.55174675321208,0,0,0,0,0,0,0,0,0
"MSTRG.5909",0,0,8.51270525213631,0,0,0,0,0,0,0,0,0,0,8.03394323842169,8.60165007006056,0,0,0,0,0,0,0
"MSTRG.7957|LOC100221190",7.68836519296503,0,0,0,8.69792967922214,0,0,0,0,0,8.57788585543261,0,0,8.993255652112,0,0,0,0,0,0,0,0
"MSTRG.20953",9.47758847527657,9.40053010826372,9.20395417373096,9.48922828391046,9.75676136814756,9.78629675077136,10.1129914910184,9.67295881018319,8.58715718633288,9.01053698464205,8.06283312070372,7.96718351693209,7.85875547044487,8.53414646018637,7.75746563039118,8.61731358967271,10.032190483245,9.28654016025606,9.25908564484944,10.1399914326267,10.268753453836,10.5733923997561
